lat,lon,date,landslide,location,elevation_m,slope_degrees,soil_moisture_percent,rainfall_mm_24h,rainfall_mm_72h
30.5833,79.0667,2013-06-16,1,Kedarnath Area,1885.3626708984373,43.03842867000077,78,117.4,191.2
30.5167,79.0833,2012-09-14,1,Okhimath Region,1161.23583984375,39.399271247445135,68,37.6,67.7
30.5689,79.0521,2013-06-17,1,Rambara,1768.808349609375,32.687815246524295,85,150.0,308.0
30.4851,79.0289,2017-08-14,1,Phata / Mandakini Valley,2003.169921875,30.220303100087072,72,14.1,63.8
30.45,79.01,2023-07-01,0,Guptkashi Flat Terrain,2018.3134765625,32.63423945361163,38,1.2,36.2
